id,time,body,translation,external_url,profile_type,description,name,attachment_urls,tags
3aebf74e-edd9-5621-9c4c-fdccf2961604,2024-04-01 13:01:14,"Forwarded from: Україна⚡️Незламна
В компанії Adidas номер «44» заборони використовувати через «схожість з символікою SS»Фірма пояснює це тим, що після представлення Adidas нової форми збірної Німеччини з футболу, «багато користувачів соцмереж побачили у шрифтовому оформленні футболки з номером 44 символіку нацистської організації SS».
•••Підписатися на канал","Forwarded from: Ukraine⚡️Unbreakable
At the Adidas company, it is forbidden to use the number ""44"" due to its ""similarity with the SS symbol"". The company explains this by the fact that after Adidas presented the new uniform of the German national football team, ""many social network users saw the symbol of the Nazi SS organization in the font design of the T-shirt with the number 44"".
•••Subscribe to the channel",https://t.me/tokmakpology,telegram,Telegram channel focused on Russia-Ukraine conflict news around Tokmak.,tokmakpology,media/telegram-web/6aa9a40e-4d38-45ec-abff-6d87eb789e51.jpeg,['Others']
32262074-ef92-5482-af10-754243be03d6,2024-04-01 00:38:48,"Forwarded from: Охранитель
Спасибо, парни! 
Водяное.","Forwarded from: Guardian
Thank you, guys!
Vodyanoe.",https://t.me/morskaya_pehota_russia,telegram,A Telegram channel affiliated with the Russian navy. Account raises funds for the Russian war effort in Ukraine.,Morskaya_Pehota_Russia,"media/telegram-web/56164790-6846-4f55-8255-7a65f6e8eb25.mp4,kirby/telegram-web/07cedf06-9744-4b89-9780-4f3e45264e94.jpeg","['Russian military intervention', ' Russian propaganda']"
5b32dd75-699c-5db2-b7b7-8d6eb3dd7de5,2024-04-01 10:15:13,"В соцсетях рвущие душу заголовки ""В Екатеринбурге горит крупнейший оборонный завод Уралмаш'. В личку спрашивают, почему не пишу. 

А что писать то? Вранье про крупнейший оборонный завод? Он раздербанен давным давно, там владельцев цехов и зданий - как палаток на овощном рынке. В одной что-то горит. Такое бывает. 

Будет конкретика, напишу. Но это не ЗиК и не УВЗ, уж поверьте.

P.S. В комментариях пишут, горят две ёмкости с лаком. А Уралмаш сообщил, что это вообще не их здание. Ч.Т.Д.

P.S.S. Эх, зря я пост сделал. Такую перемогу чубатым обломал. Надо было писать, что горит склад с Искандерами, Кремль в панике.","On social networks there are heart-wrenching headlines: “The largest defense plant, Uralmash, is on fire in Yekaterinburg.” They ask in a personal message why I’m not writing.

What should I write? Lies about the largest defense plant? It was torn apart a long time ago, the owners of workshops and buildings are there - like tents at a vegetable market. Something is burning in one. It happens.

If I have specifics, I’ll write. But this is not ZiK or UVZ, believe me.

P.S. In the comments they write that two containers of varnish are on fire. And Uralmash said that this was not their building at all. C.T.D.

P.S.S. Eh, I shouldn't have made a post. He broke off such a victory with his forelocks. It was necessary to write that the warehouse with Iskanders was on fire, the Kremlin was in panic.",https://t.me/sergeykolyasnikov,telegram,The aggressively Kremlin-aligned Telegram channel of one Sergey Kolyasnikov.,SergeyKolyasnikov,"media/telegram-web/0d958f7d-06b7-408c-940b-1984940a7141.mp4,kirby/telegram-web/8d754fa8-8ec6-4dbc-95a8-bb7eba782667.jpeg","['Russian propaganda', ' Kremlin']"
fef52a6e-5f4b-572a-a105-e9284b65d0f8,2024-04-01 15:27:22,"Кадры РИА Новости с места взрыва машины депутата Чайки в Старобельске. На месте работают следователи СК России по ЛНР,  представители силовых структур и экстренные службы.

Как сообщил источник РИА Новости, депутат был убит направленным взрывом.https://vk.com/video-66833222_456301676VK ВидеоVideo by Самооборона ГорловкиWatch Video by Самооборона Горловки 21 s from 1 April 2024 online in HD for free in the VK catalog without signing up! Views: 153.","RIA Novosti footage from the scene of the explosion of deputy Chaika’s car in Starobelsk. Investigators from the Russian Investigative Committee for the LPR, representatives of law enforcement agencies and emergency services are working on the spot.

According to a RIA Novosti source, the deputy was killed by a targeted explosion. https://vk.com/video-66833222_456301676VK VideoVideo by Gorlovka Self-DefenseWatch Video by Gorlovka Self-Defense 21 s from 1 April 2024 online in HD for free in the VK catalog without signing up! Views: 153.",https://t.me/gorlovka_oborona,telegram,Telegram channel focused on Russian news and Russia-Ukraine conflict reports.,gorlovka_oborona,media/telegram-web/9e3a231b-5661-4640-b7b2-8efb28324cc9.jpeg,"['Russian military intervention', ' LPR', ' Targeted attacks']"
f00655c9-7e80-51e9-8640-46886cdbafb4,2024-04-01 17:24:53,"Forwarded from: Departamente
🇲🇱Откуда пошла кидальская земля?№2

Впрошлый размы остановили на периоде X века, когда Тадмекка (нынешний Эссук) стала центром транс-сахарской торговли👳Аль-Бакри - арабский исследователь XI века впервые дал Тадмекке этимологию, согласно нему название берберское и означает «напоминающий Мекку».С другой стороны, некоторые представителиимгадовупоминают в своей генеалогии по отцовской линии предка по имени Адемакка, имя, которого имело бы значение «тот, кто стоит лагерем», то есть «устоявшийся».🕌Путешественник описывает её так: «огромный город, который построен лучше, чем Гана или Каукау [нынешний Гао]». От него же известно, что тогда она была занята берберами-мусульманами.🐪В городе водилось много купцов и лилась монета чистого нечеканного золота. Позже за ним закрепилось название Эссук [Рынок], так как «Каждый человек, который хотел что-то купить, шел в Эссук», по словам Хумера, вождя одной из ветвей туареговПримерно в середине XI века проходит война (как иначе?) между Тадмеккой и Ганой, при поддержке Альморавидов. Закончилось все покорением города, в результате чего от ибадизма население перешло в суннизм маликисткого мазхаба.","Forwarded from: Departamente
🇲🇱Where did the kidal land come from? No. 2

In the past, the debate stopped at the period of the 10th century, when Tadmecca (present-day Essouk) became the center of trans-Saharan trade👳 Al-Bakri - an Arab explorer of the 11th century first gave Tadmecca an etymology, according to him the name is Berber and means “reminiscent of Mecca.” On the other hand, some the representatives of the Immadas mention in their paternal genealogy an ancestor named Ademakka, a name whose name would mean “one who camps,” that is, “established.”🕌The traveler describes it as: “a huge city that is better built than Ghana or Kaukau [present-day Gao]."" It is known from him that at that time it was occupied by Muslim Berbers. There were many merchants in the city and coins of pure unminted gold flowed. Later, the name Essuk [Market] was assigned to it, since “Every person who wanted to buy something went to Essuk,” according to Humer, the leader of one of the branches of the Tuaregs. Around the middle of the 11th century, a war takes place (how else?) between Tadmekka and Ghana, with the support of the Almoravids. It all ended with the conquest of the city, as a result of which the population switched from Ibadism to the Sunnism of the Maliki madhhab.",https://t.me/strana_tuaregov,telegram,A Russian language Telegram account that focuses on news in Africa.,strana_tuaregov,media/telegram-web/98b2298f-f447-4725-a6a2-d3e9792d0085.jpeg,['Others']
e8e97ad7-4cf1-511b-864b-f31f0ac3127c,2024-04-01 12:40:29,Возле Крыма снова пасётся разведчик с позывным Forte11. Облучает ПВО Крымского моста.ЧВК🥷🎻ZOV,A scout with the call sign Forte11 is grazing again near Crimea. Irradiates the air defense of the Crimean bridge. PMC🥷🎻ZOV,https://t.me/pmc_z_o_v,telegram,Pro-Russian Telegram channel posting Russian propaganda and international coverage.,PMC_Z_O_V,media/telegram-web/44227ec0-889b-4a6d-a6eb-003dd8a54a20.jpeg,"['Russian military surveillance', ' Crimea']"
ca39d4af-1915-5f10-8bac-615947875ac7,2024-04-01 10:41:10,Заказали турникеты..,We ordered turnstiles...,https://t.me/zov_serdec_kanal,telegram,Russian volunteer support group for war efforts in Ukraine.,ZOV_Serdec_kanal,media/telegram-web/0a17c4d2-a769-4f6d-a02d-cda9ded7fa7f.jpeg,['Russian military aid']
423de594-bdd3-5f78-887d-c60abc696723,2024-04-01 17:25:12,"Артиллеристы группировки войск «Юг» совместно с операторами БпЛА проходят подготовку и боевое слаживание в тыловом районе зоны СВОРасчеты противотанковых пушек МТ-12 «Рапира» совершенствуют навыки стрельбы, отрабатывая действия по прикрытию штурмовых групп во время захвата опорных пунктов противника. 

Разведку условных целей и корректировку огня в ходе тренировок осуществляют расчеты беспилотных летательных аппаратов.🔹Минобороны России","Artillerymen of the ""South"" group of forces, together with UAV operators, are undergoing training and combat coordination in the rear area of the SVO zone. Crews of MT-12 ""Rapier"" anti-tank guns are improving their shooting skills, practicing actions to cover assault groups during the capture of enemy strongholds.

Reconnaissance of conditional targets and fire adjustments during training are carried out by crews of unmanned aerial vehicles.🔹Russian Ministry of Defense",https://t.me/gramotyyaroslava,telegram,A Kremlin-aligned Telegram user.,gramotyyaroslava,media/telegram-web/756251f9-5081-4faf-9baf-1bf101995685.jpeg,"['Russian military operations', ' Military training']"
db8bcdbb-9bbb-5309-a839-4b09a955a1af,2024-04-01 18:49:42,"Любимый понедельник😄Получили дель! Наши 3 мешка)
Спасибо Эдуарду за помощь в  доставке❤️Дель уже отправилась на нарезку, впереди очень много заказов!
Звонили с производства, оставшаяся часть спанбонда готова, не забрали ещё 5 бобин их заберём завтра.

По поводу авто (Хантера) Огромная благодарность Павлу, всё посмотрели, подтянули.
По согласованию с ребятами к авто приобретём  багажник и зарядник на аккумклятор.

Также поступил запрос от ребят на подавители БПЛА, полдня сегодня ушло на изучение и согласование данного вопроса. Чуть позже всё опубликуемНАШИ","Favorite Monday😄Got it! Our 3 bags)
Thanks to Eduard for your help with delivery❤️Del has already gone to cutting, there are a lot of orders ahead!
We called from production, the rest of the spunbond is ready, we haven’t picked up another 5 reels, we’ll pick them up tomorrow.

Regarding the car (Hunter) Many thanks to Pavel, we looked at everything and fixed it up.
By agreement with the guys, we will purchase a trunk and a battery charger for the car.

We also received a request from the guys for UAV suppressors; today it took us half a day to study and agree on this issue. A little later we will publish everything OUR",https://t.me/nash_zov_narod,telegram,A Russian Telegram channel that raises funds for the Russian war effort in Ukraine. Channel also posts news from frontline areas.,nash_zov_narod,media/telegram-web/81dcd34c-0d15-42da-bd9e-642bb741bee9.jpeg,"['Russian military aid', ' Logistics']"
6dd8b21f-e381-5bf1-9c9a-c2323fffd0a8,2024-04-01 16:51:08,"Запад всерьёз решил взяться за раскачку покрытой пыльютемыо ""гавайском синдроме"", которую с подачи журналистов из CBS Newsдосталииз чулана и явили миру

BBC доблестно подхватило горяченькую задумку и продолжило совокуплять мозги доверчивого читателя заголовком ""Загадочная болезнь ""Гаванский синдром"" связана с российским разведывательным подразделением"".

В прошлый разне прокатило, думают, что получится теперь?","The West has seriously decided to take up the dust-covered theme of the “Hawaiian syndrome”, which, at the instigation of journalists from CBS News, was brought out of the closet and revealed to the world

The BBC valiantly picked up the hot idea and continued to pick the brains of gullible readers with the headline “Mysterious Havana Syndrome Disease Linked to Russian Intelligence Unit.”

It worked last time, do you think it will work now?",https://t.me/rlz_the_kraken,telegram,Pro-Russian Telegram channel posting Russian propaganda and international coverage.,rlz_the_kraken,"media/telegram-web/9f5f93d4-6839-4bfa-b389-65f51ba7db02.jpeg,kirby/telegram-web/2c337e0d-b0cf-45c6-bfed-e0bbc7d9f079.jpeg","['Russian disinformation', ' Information warfare']"
